frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID
odom,-0.032334,2.105449,-0.708252,0.705960,25
odom,-0.032713,1.986981,-0.708221,0.705991,25
odom,-0.033044,1.880789,-0.708197,0.706015,25
odom,-0.033364,1.777347,-0.708200,0.706012,25
odom,-0.033662,1.681183,-0.708205,0.706007,25
odom,-0.033946,1.590101,-0.708212,0.706000,25
odom,-0.034217,1.503341,-0.708210,0.706002,25
odom,-0.034475,1.421159,-0.708227,0.705985,25
odom,-0.034727,1.340630,-0.708197,0.706015,25
odom,-0.035066,1.235288,-0.708288,0.705923,25

odom,-0.029778,2.892407,-0.708102,0.706110,26
odom,-0.030141,2.774202,-0.708284,0.705927,26
odom,-0.030485,2.668043,-0.708218,0.705994,26
odom,-0.030820,2.562642,-0.708241,0.705971,26
odom,-0.031157,2.457245,-0.708233,0.705979,26
odom,-0.031494,2.351854,-0.708235,0.705977,26
odom,-0.031830,2.246470,-0.708234,0.705978,26
odom,-0.032166,2.141096,-0.708234,0.705978,26
odom,-0.032502,2.035733,-0.708234,0.705978,26
odom,-0.032839,1.930383,-0.708238,0.705974,26
odom,-0.033146,1.834806,-0.708242,0.705970,26
odom,-0.033444,1.741865,-0.708241,0.705971,26
odom,-0.033724,1.654695,-0.708241,0.705971,26
odom,-0.033990,1.571684,-0.708241,0.705971,26
odom,-0.034245,1.492305,-0.708239,0.705973,26
odom,-0.034487,1.416782,-0.708241,0.705971,26
odom,-0.034717,1.345323,-0.708245,0.705967,26
odom,-0.034941,1.275097,-0.708220,0.705992,26
odom,-0.035233,1.185288,-0.708292,0.705920,26

odom,-0.030138,2.795108,-0.710163,0.704037,27
odom,-0.029705,2.805455,-0.741230,0.671251,27
odom,-0.028620,2.817233,-0.751202,0.660072,27
odom,-0.027201,2.829208,-0.757493,0.652843,27
odom,-0.025827,2.839703,-0.753974,0.656904,27
odom,-0.025329,2.845461,-0.737549,0.675293,27
odom,-0.026113,2.821407,-0.695628,0.718402,27
odom,-0.004031,1.327191,-0.708039,0.706174,27
odom,-0.010557,1.205799,-0.739910,0.672705,27
odom,-0.011295,1.202473,-0.751004,0.660297,27
odom,-0.011678,1.203400,-0.758681,0.651462,27
odom,-0.011894,1.205551,-0.756044,0.654521,27
odom,-0.012063,1.208017,-0.757062,0.653343,27
odom,-0.013905,1.200117,-0.763766,0.645493,27
odom,-0.016129,1.190964,-0.775029,0.631926,27
odom,-0.022243,1.164575,-0.779962,0.625827,27
odom,-0.027010,1.144770,-0.773935,0.633266,27
odom,-0.031491,1.122672,-0.757517,0.652816,27
odom,-0.034236,1.102686,-0.731270,0.682088,27
odom,-0.035417,1.085288,-0.708396,0.705815,27

odom,-0.030138,2.795108,-0.710163,0.704037,28
odom,-0.029705,2.805455,-0.741230,0.671251,28
odom,-0.028620,2.817233,-0.751202,0.660072,28
odom,-0.027201,2.829208,-0.757493,0.652843,28
odom,-0.025827,2.839703,-0.753974,0.656904,28
odom,-0.025329,2.845461,-0.737549,0.675293,28
odom,-0.026113,2.821407,-0.695628,0.718402,28
odom,-0.004031,1.327191,-0.708039,0.706174,28
odom,-0.010557,1.205799,-0.739910,0.672705,28
odom,-0.011295,1.202473,-0.751004,0.660297,28
odom,-0.011678,1.203400,-0.758681,0.651462,28
odom,-0.011894,1.205551,-0.756044,0.654521,28
odom,-0.012063,1.208017,-0.757062,0.653343,28
odom,-0.013905,1.200117,-0.763766,0.645493,28
odom,-0.016129,1.190964,-0.775029,0.631926,28
odom,-0.022243,1.164575,-0.779962,0.625827,28
odom,-0.027010,1.144770,-0.773935,0.633266,28
odom,-0.031491,1.122672,-0.757517,0.652816,28
odom,-0.034236,1.102686,-0.731270,0.682088,28
odom,-0.035417,1.085288,-0.708396,0.705815,28

odom,-0.030138,2.795108,-0.710163,0.704037,29
odom,-0.029705,2.805455,-0.741230,0.671251,29
odom,-0.028620,2.817233,-0.751202,0.660072,29
odom,-0.027201,2.829208,-0.757493,0.652843,29
odom,-0.025827,2.839703,-0.753974,0.656904,29
odom,-0.025329,2.845461,-0.737549,0.675293,29
odom,-0.026113,2.821407,-0.695628,0.718402,29
odom,-0.004031,1.327191,-0.708039,0.706174,29
odom,-0.010557,1.205799,-0.739910,0.672705,29
odom,-0.011295,1.202473,-0.751004,0.660297,29
odom,-0.011678,1.203400,-0.758681,0.651462,29
odom,-0.011894,1.205551,-0.756044,0.654521,29
odom,-0.012063,1.208017,-0.757062,0.653343,29
